year,state,type,runoff,office,name,party,inc,w_g,vote_g,nextup
2022,TX,G,NA,G,"ABOTT, GREG",R,1,1,4437099,2026
2022,TX,G,NA,G,"O'ROURKE, ROBERT (BETO)",D,0,0,3553656,2026
2022,TX,G,NA,G,"TIPPETTS, MARK",Lbt,0,0,81932,2026
2022,TX,G,NA,G,"BARRIOS, DELILAH",Green,0,0,28584,2026
2022,VT,G,NA,G,"SCOTT, PHILLIP B. (PHIL)",R,1,1,202147,2024
2022,VT,G,NA,G,"SIEGEL, BRENDA",D,0,0,68248,2024
2022,VT,G,NA,G,"HOYT, KEVIN",Independent,0,0,6022,2024
2022,VT,G,NA,G,"DUVAL, PETER",Independent,0,0,4723,2024
2022,VT,G,NA,G,"PETERS, BERNARD",Independent,0,0,2315,2024
2022,WI,G,NA,G,"EVERS, TONY",D,1,1,1358774,2026
2022,WI,G,NA,G,"MICHELS, TIM",R,0,0,1268535,2026
2022,WI,G,NA,G,"BEGLINGER, JOAN ELLIS",Independent,0,0,27198,2026
2022,WY,G,NA,G,"GORDON, MARK",R,1,1,143696,2026
2022,WY,G,NA,G,"LIVINGSTON, THERESA A.",D,0,0,30686,2026
2022,WY,G,NA,G,"BALDES, JARED J.",Lbt,0,0,8157,2026
2021,VA,G,NA,G,"YOUNGKIN, GLENN A.",R,0,1,1663158,2025
2021,VA,G,NA,G,"MCAULIFFE, TERRY R.",D,1,0,1599470,2025
2021,VA,G,NA,G,"BLANDING, PRINCESS LATECE TEIRA",Lbt,0,0,23107,2025
2021,NJ,G,NA,G,"MURPHY, PHILIP (PHIL)",D,1,1,1339471,2025
2021,NJ,G,NA,G,"CIATTARELLI, JACK",R,0,0,1255185,2025
2021,NJ,G,NA,G,"HOFFMAN, MADELYN R.",Grn,0,0,8450,2025
2021,NJ,G,NA,G,"MELE, GREGG",Lbt,0,0,7768,2025
2021,NJ,G,NA,G,"KUNIANSKY, JOANNE",SWP,0,0,4012,2025
