year,state,party,name,inc,party_formal,candidatevotes
2012,KS,Lbt,"JOHNSON, GARY",0,Lbt,20456
2012,KS,Other,"BALDWIN, CHARLES (CHUCK)",0,Reform Party,5017
2012,KS,R,"ROMNEY, MITT",0,R,692634
2012,KY,D,"OBAMA, BARACK",1,D,679370
2012,KY,Lbt,"JOHNSON, GARY",0,Lbt,17063
2012,KY,Other,"STEIN, JILL",0,Grn,6337
2012,KY,Other,"TERRY, RANDALL",0,Independent,6872
2012,KY,R,"ROMNEY, MITT",0,R,1087190
2012,LA,D,"OBAMA, BARACK",1,D,809141
2012,LA,Lbt,"JOHNSON, GARY",0,Lbt,18157
2012,LA,Other,"ANDERSON, ROSS CARL (ROCKY)",0,Justice,1368
2012,LA,Other,"FELLURE, LOWELL JACKSON (JACK)",0,Prohibition,518
2012,LA,Other,"GOODE, VIRGIL HAMLIN, JR.",0,Constitution Party,2508
2012,LA,Other,"HARRIS, JAMES",0,Socialist Workers,389
2012,LA,Other,"LINDSAY, PETA",0,Socialism And Liberation Party,622
2012,LA,Other,"STEIN, JILL",0,Grn,6978
2012,LA,Other,"TITTLE, SHEILA (SAMM)",0,We The People,1767
2012,LA,Other,"WHITE, JEROME (JERRY)",0,Socialist Equality Party,355
2012,LA,R,"ROMNEY, MITT",0,R,1152262
2012,MA,D,"OBAMA, BARACK",1,D,1921290
2012,MA,Lbt,"JOHNSON, GARY",0,Lbt,30920
2012,MA,Other,"STEIN, JILL",0,Green-Rainbow,20691
2012,MA,R,"ROMNEY, MITT",0,R,1188314
2012,MD,D,"OBAMA, BARACK",1,D,1677844
2012,MD,Lbt,"JOHNSON, GARY",0,Lbt,30195
2012,MD,Other,"STEIN, JILL",0,Grn,17110
2012,MD,R,"ROMNEY, MITT",0,R,971869
2012,ME,D,"OBAMA, BARACK",1,D,401306
2012,ME,Lbt,"JOHNSON, GARY",0,Lbt,9352
2012,ME,Other,"STEIN, JILL",0,Grn,8119
2012,ME,R,"ROMNEY, MITT",0,R,292276
2012,MI,D,"OBAMA, BARACK",1,D,2564569
2012,MI,Other,"ANDERSON, ROSS CARL (ROCKY)",0,Natural Law,5147
2012,MI,Other,"GOODE, VIRGIL HAMLIN, JR.",0,U.s. Taxpayers Party,16119
2012,MI,Other,"STEIN, JILL",0,Grn,21897
2012,MI,R,"ROMNEY, MITT",0,R,2115256
